FIPS ,County,State
17003,ALEXANDER,ILLINOIS
17005,BOND,ILLINOIS
17007,BOONE,ILLINOIS
17009,BROWN,ILLINOIS
17011,BUREAU,ILLINOIS
17015,CARROLL,ILLINOIS
17017,CASS,ILLINOIS
17019,CHAMPAIGN,ILLINOIS
17021,CHRISTIAN,ILLINOIS
17023,CLARK,ILLINOIS
17025,CLAY,ILLINOIS
17027,CLINTON,ILLINOIS
17031,COOK,ILLINOIS
17033,CRAWFORD,ILLINOIS
17037,DE KALB,ILLINOIS
17039,DE WITT,ILLINOIS
17045,EDGAR,ILLINOIS
17047,EDWARDS,ILLINOIS
17049,EFFINGHAM,ILLINOIS
17051,FAYETTE,ILLINOIS
17053,FORD,ILLINOIS
17055,FRANKLIN,ILLINOIS
17057,FULTON,ILLINOIS
17059,GALLATIN,ILLINOIS
17063,GRUNDY,ILLINOIS
17067,HANCOCK,ILLINOIS
17069,HARDIN,ILLINOIS
17071,HENDERSON,ILLINOIS
17073,HENRY,ILLINOIS
17075,IROQUOIS,ILLINOIS
17077,JACKSON,ILLINOIS
17081,JEFFERSON,ILLINOIS
17085,JO DAVIESS,ILLINOIS
17087,JOHNSON,ILLINOIS
17089,KANE,ILLINOIS
17091,KANKAKEE,ILLINOIS
17093,KENDALL,ILLINOIS
17095,KNOX,ILLINOIS
17097,LAKE,ILLINOIS
17101,LAWRENCE,ILLINOIS
17103,LEE,ILLINOIS
17105,LIVINGSTON,ILLINOIS
17113,MCLEAN,ILLINOIS
17115,MACON,ILLINOIS
17117,MACOUPIN,ILLINOIS
17119,MADISON,ILLINOIS
17121,MARION,ILLINOIS
17125,MASON,ILLINOIS
17127,MASSAC,ILLINOIS
17129,MENARD,ILLINOIS
17133,MONROE,ILLINOIS
17139,MOULTRIE,ILLINOIS
17141,OGLE,ILLINOIS
17143,PEORIA,ILLINOIS
17145,PERRY,ILLINOIS
17147,PIATT,ILLINOIS
17153,PULASKI,ILLINOIS
17155,PUTNAM,ILLINOIS
17157,RANDOLPH,ILLINOIS
17161,ROCK ISLAND,ILLINOIS
17163,ST CLAIR,ILLINOIS
17165,SALINE,ILLINOIS
17167,SANGAMON,ILLINOIS
17169,SCHUYLER,ILLINOIS
17171,SCOTT,ILLINOIS
17173,SHELBY,ILLINOIS
17175,STARK,ILLINOIS
17177,STEPHENSON,ILLINOIS
17179,TAZEWELL,ILLINOIS
17181,UNION,ILLINOIS
17183,VERMILION,ILLINOIS
17185,WABASH,ILLINOIS
17189,WASHINGTON,ILLINOIS
17193,WHITE,ILLINOIS
17195,WHITESIDE,ILLINOIS
17197,WILL,ILLINOIS
17201,WINNEBAGO,ILLINOIS
17203,WOODFORD,ILLINOIS
19005,ALLAMAKEE,IOWA
19007,APPANOOSE,IOWA
19009,AUDUBON,IOWA
19011,BENTON,IOWA
19013,BLACK HAWK,IOWA
19015,BOONE,IOWA
19017,BREMER,IOWA
19019,BUCHANAN,IOWA
19021,BUENA VISTA,IOWA
19023,BUTLER,IOWA
19025,CALHOUN,IOWA
19027,CARROLL,IOWA
